Country,Year,FDI Flows - Outward (% of GDP)
Argentina,2005,0.65349677154373
Argentina,2006,1.0404489251303
Argentina,2007,0.51913942532849
Argentina,2008,0.38040636995945
Argentina,2009,0.21154348702608
Argentina,2010,0.2262108283621
Argentina,2011,0.28067093935357
Argentina,2012,0.18142303376033
Argentina,2013,0.14511279666599
Argentina,2014,0.33868259612334
Argentina,2015,0.13572579574733
Argentina,2016,0.32042986567774
Argentina,2017,0.17954459436532
Argentina,2018,0.32885567029756
Argentina,2019,0.34014159985367
Argentina,2020,0.3052857754985
Argentina,2021,0.31579898993635
Argentina,2022,0.3291591221155
Argentina,2005,0.65349677154373
Argentina,2006,1.0404489251303
Argentina,2007,0.51913942532849
Argentina,2008,0.38040636995945
Argentina,2009,0.21154348702608
Argentina,2010,0.2262108283621
Argentina,2011,0.28067093935357
Argentina,2012,0.18142303376033
Argentina,2013,0.14511279666599
Argentina,2014,0.33868259612334
Argentina,2015,0.13572579574733
Argentina,2016,0.32042986567774
Argentina,2017,0.17954459436532
Argentina,2018,0.32885567029756
Argentina,2019,0.34014159985367
Argentina,2020,0.3052857754985
Argentina,2021,0.31579898993635
Argentina,2022,0.3291591221155
Argentina,2005,0.65349677154373
Argentina,2006,1.0404489251303
Argentina,2007,0.51913942532849
Argentina,2008,0.38040636995945
Argentina,2009,0.21154348702608
Argentina,2010,0.2262108283621
Argentina,2011,0.28067093935357
Argentina,2012,0.18142303376033
Argentina,2013,0.14511279666599
Argentina,2014,0.33868259612334
Argentina,2015,0.13572579574733
Argentina,2016,0.32042986567774
Argentina,2017,0.17954459436532
Argentina,2018,0.32885567029756
Argentina,2019,0.34014159985367
Argentina,2020,0.3052857754985
Argentina,2021,0.31579898993635
Argentina,2022,0.3291591221155
Argentina,2005,0.65349677154373
Argentina,2006,1.0404489251303
Argentina,2007,0.51913942532849
Argentina,2008,0.38040636995945
Argentina,2009,0.21154348702608
Argentina,2010,0.2262108283621
Argentina,2011,0.28067093935357
Argentina,2012,0.18142303376033
Argentina,2013,0.14511279666599
Argentina,2014,0.33868259612334
Argentina,2015,0.13572579574733
Argentina,2016,0.32042986567774
Argentina,2017,0.17954459436532
Argentina,2018,0.32885567029756
Argentina,2019,0.34014159985367
Argentina,2020,0.3052857754985
Argentina,2021,0.31579898993635
Argentina,2022,0.3291591221155
Argentina,2005,0.65349677154373
Argentina,2006,1.0404489251303
Argentina,2007,0.51913942532849
Argentina,2008,0.38040636995945
Argentina,2009,0.21154348702608
Argentina,2010,0.2262108283621
Argentina,2011,0.28067093935357
Argentina,2012,0.18142303376033
Argentina,2013,0.14511279666599
Argentina,2014,0.33868259612334
Argentina,2015,0.13572579574733
Argentina,2016,0.32042986567774
Argentina,2017,0.17954459436532
Argentina,2018,0.32885567029756
Argentina,2019,0.34014159985367
Argentina,2020,0.3052857754985
Argentina,2021,0.31579898993635
Argentina,2022,0.3291591221155
Argentina,2005,0.65349677154373
Argentina,2006,1.0404489251303
Argentina,2007,0.51913942532849
Argentina,2008,0.38040636995945
Argentina,2009,0.21154348702608
Argentina,2010,0.2262108283621
Argentina,2011,0.28067093935357
Argentina,2012,0.18142303376033
Argentina,2013,0.14511279666599
Argentina,2014,0.33868259612334
Argentina,2015,0.13572579574733
Argentina,2016,0.32042986567774
Argentina,2017,0.17954459436532
Argentina,2018,0.32885567029756
Argentina,2019,0.34014159985367
Argentina,2020,0.3052857754985
Argentina,2021,0.31579898993635
Argentina,2022,0.3291591221155
