Country,Year,GDP per Hour Worked
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
Australia,2014,52.800466
Australia,2015,54.145277
Australia,2016,54.010195
Australia,2017,54.638934
Australia,2018,54.654293
Australia,2019,55.160537
Australia,2020,56.133988
Australia,2021,57.044399
Australia,2022,55.956072
Australia,1990,35.589084
Australia,1991,36.406827
Australia,1992,37.52632
Australia,1993,37.607323
Australia,1994,37.690439
Australia,1995,38.823836
Australia,1996,40.169459
Australia,1997,41.549735
Australia,1998,42.8941
Australia,1999,43.2681
Australia,2000,43.75166
Australia,2001,45.268479
Australia,2002,45.945168
Australia,2003,47.010774
Australia,2004,46.853253
Australia,2005,47.027864
Australia,2006,47.267823
Australia,2007,47.806248
Australia,2008,49.465307
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
Australia,2014,52.800466
Australia,2015,54.145277
Australia,2016,54.010195
Australia,2017,54.638934
Australia,2018,54.654293
Australia,2019,55.160537
Australia,2020,56.133988
Australia,2021,57.044399
Australia,2022,55.956072
Australia,1990,35.589084
Australia,1991,36.406827
Australia,1992,37.52632
Australia,1993,37.607323
Australia,1994,37.690439
Australia,1995,38.823836
Australia,1996,40.169459
Australia,1997,41.549735
Australia,1998,42.8941
Australia,1999,43.2681
Australia,2000,43.75166
Australia,2001,45.268479
Australia,2002,45.945168
Australia,2003,47.010774
Australia,2004,46.853253
Australia,2005,47.027864
Australia,2006,47.267823
Australia,2007,47.806248
Australia,2008,49.465307
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
Australia,2014,52.800466
Australia,2015,54.145277
Australia,2016,54.010195
Australia,2017,54.638934
Australia,2018,54.654293
Australia,2019,55.160537
Australia,2020,56.133988
Australia,2021,57.044399
Australia,2022,55.956072
Australia,1990,35.589084
Australia,1991,36.406827
Australia,1992,37.52632
Australia,1993,37.607323
Australia,1994,37.690439
Australia,1995,38.823836
Australia,1996,40.169459
Australia,1997,41.549735
Australia,1998,42.8941
Australia,1999,43.2681
Australia,2000,43.75166
Australia,2001,45.268479
Australia,2002,45.945168
Australia,2003,47.010774
Australia,2004,46.853253
Australia,2005,47.027864
Australia,2006,47.267823
Australia,2007,47.806248
Australia,2008,49.465307
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
Australia,2014,52.800466
Australia,2015,54.145277
Australia,2016,54.010195
Australia,2017,54.638934
Australia,2018,54.654293
Australia,2019,55.160537
Australia,2020,56.133988
Australia,2021,57.044399
Australia,2022,55.956072
Australia,1990,35.589084
Australia,1991,36.406827
Australia,1992,37.52632
Australia,1993,37.607323
Australia,1994,37.690439
Australia,1995,38.823836
Australia,1996,40.169459
Australia,1997,41.549735
Australia,1998,42.8941
Australia,1999,43.2681
Australia,2000,43.75166
Australia,2001,45.268479
Australia,2002,45.945168
Australia,2003,47.010774
Australia,2004,46.853253
Australia,2005,47.027864
Australia,2006,47.267823
Australia,2007,47.806248
Australia,2008,49.465307
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
Australia,2014,52.800466
Australia,2015,54.145277
Australia,2016,54.010195
Australia,2017,54.638934
Australia,2018,54.654293
Australia,2019,55.160537
Australia,2020,56.133988
Australia,2021,57.044399
Australia,2022,55.956072
Australia,1990,35.589084
Australia,1991,36.406827
Australia,1992,37.52632
Australia,1993,37.607323
Australia,1994,37.690439
Australia,1995,38.823836
Australia,1996,40.169459
Australia,1997,41.549735
Australia,1998,42.8941
Australia,1999,43.2681
Australia,2000,43.75166
Australia,2001,45.268479
Australia,2002,45.945168
Australia,2003,47.010774
Australia,2004,46.853253
Australia,2005,47.027864
Australia,2006,47.267823
Australia,2007,47.806248
Australia,2008,49.465307
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
Australia,2014,52.800466
Australia,2015,54.145277
Australia,2016,54.010195
Australia,2017,54.638934
Australia,2018,54.654293
Australia,2019,55.160537
Australia,2020,56.133988
Australia,2021,57.044399
Australia,2022,55.956072
Australia,1990,35.589084
Australia,1991,36.406827
Australia,1992,37.52632
Australia,1993,37.607323
Australia,1994,37.690439
Australia,1995,38.823836
Australia,1996,40.169459
Australia,1997,41.549735
Australia,1998,42.8941
Australia,1999,43.2681
Australia,2000,43.75166
Australia,2001,45.268479
Australia,2002,45.945168
Australia,2003,47.010774
Australia,2004,46.853253
Australia,2005,47.027864
Australia,2006,47.267823
Australia,2007,47.806248
Australia,2008,49.465307
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
Australia,2014,52.800466
Australia,2015,54.145277
Australia,2016,54.010195
Australia,2017,54.638934
Australia,2018,54.654293
Australia,2019,55.160537
Australia,2020,56.133988
Australia,2021,57.044399
Australia,2022,55.956072
Australia,1990,35.589084
Australia,1991,36.406827
Australia,1992,37.52632
Australia,1993,37.607323
Australia,1994,37.690439
Australia,1995,38.823836
Australia,1996,40.169459
Australia,1997,41.549735
Australia,1998,42.8941
Australia,1999,43.2681
Australia,2000,43.75166
Australia,2001,45.268479
Australia,2002,45.945168
Australia,2003,47.010774
Australia,2004,46.853253
Australia,2005,47.027864
Australia,2006,47.267823
Australia,2007,47.806248
Australia,2008,49.465307
Australia,2009,49.063422
Australia,2010,49.846049
Australia,2011,50.432679
Australia,2012,51.65126
Australia,2013,52.552964
